filename,document_id,classification,category,word_count,page_count,dates,project_names,persons,organizations,locations
CIA-RDP96-00787R000100050001-7.txt,CIA-RDP96-00787R000100050001-7,,experiment_results,8514,17,03/04/18|24 April 1974|1 April 1974,,"Harold E. Puthoff

Client|Tony|Lo|Donald Lim|Lim|Reitan|Robert Ornstein|mm|Josephson|Neem",Stanford Research Institute|SG1I|CIA|H.P.|B. Basic Research|Administration Hospital|Halstead-Reitan|EEL|ERENT|Langley Porter Neuropsychiatric Institute,Costa Rica|Palo Alto Veteran's|aly|San Francisco|Palo Alto|M.D.|Harvey|Thomas|Springfield|Luria
CIA-RDP96-00787R000100070001-5.txt,CIA-RDP96-00787R000100070001-5,,experiment_results,2766,5,"30 August 1973|00/08/10|10
September 1973",,"H. Puthoff|R. Targ|Uri Geller|Ingo Swann|Puthoff|Targ|aeerefeco|Geller|-——=-=——-tSSSSSSs|Luy J

Approved","Stanford Research Institute|SRI|DD/ORD
SGil ORD/LSB
C/ORD/LSB|ORD|OSI|CBS|AC/OTS/D&E

C/OTS|Release 2000/08/10|CIA|EEG",Gaa0
CIA-RDP96-00787R000100080003-2.txt,CIA-RDP96-00787R000100080003-2,,experiment_results,1928,3,00/08/10,,"Russell Targ|David B|Russell Targ

David B. Hurt

Parapsychology Research Group Inc.|J. Pratt|J. B. Rhine|J. Greenwood|Henry Holt|S. Soal|F. Bateman|L. L. Vasilliev",Release 2000/08/10|CIA|PASS|FSP|linear|C. Stuart|Modern Experiments|ISMI Publications|J. Parapsychology|Science,NORTH CAROLINA|Palo Alto|California|New York|Telepathy|London|Mental Suggestion|Hampshire|England|Release-2000/08/10
CIA-RDP96-00787R000100090001-3.txt,CIA-RDP96-00787R000100090001-3,,experiment_results,249,1,03/09/09,,SG1I,"CIA|STANFORD RESEARCH INSTITUTE
MENLO PARK|SG1I",
CIA-RDP96-00787R000100090002-2.txt,CIA-RDP96-00787R000100090002-2,,experiment_results,4451,8,03/09/09,,"Rateasé|i.e|Mrmr|EY CNT TN|vba cea|Mbabane Pak|Sour 1

Seung|Ee Allene|Yrelatively|Lawrence LeShan",CIA|Relgabe|CHRERER|i Direct Knowing|NAN|psychologically-=|Loosening|time)--|SAY ec AENEAN|ET ED RO,Figure|Precognitive-~The|ORAM|Set|LeShan|rome
CIA-RDP96-00787R000100110001-0.txt,CIA-RDP96-00787R000100110001-0,SECRET,experiment_results,3046,6,00/08/10|18 October 1974,,Harold E. Puthoff|Russell Targ|Earle Jones|Releasd 2PUQDB/ANS|Ste Che|ASNOdS3Y LOArANS|Jaipez|Burnjiom|JO|Useq BABY,"STANFORD RESEARCH INSTITUTE

|Electronics and Bioengineering Laboratory|SRI Project|MOZE|ON
Impossible|Information Science and Engineering Division|NATIONAL SECURITY|Criminal Sanctions|CIA|SRI",Menlo Park|California|USSR|XOH3SX|NOILVDOT|LIDYVL
CIA-RDP96-00787R000100120001-9.txt,CIA-RDP96-00787R000100120001-9,SECRET,research_report,54240,108,"31 January 1972|04/08/08|72
July 1972|04/08/02",,"John D. LaMothe|err n rte|APPENDIX IV - The ""|err cr|L.L. Vasilev|Edward Naumov|G.A. Sergeyev|N. Kulagina|Phenomenon|Belea","CIA|CAPTAIN|MEDICAL SERVICE CORPS

SHORT|Information Cut-off|the National Defense of

the United States|a Department of Defense Intelligence Document|Medical Intelligence Office, Office of The Surgeon General|Army|the Directorate for Scientific and Technical
Intelligence of the Defense Intelligence Agency|MLO",US|Washington|Northern Ireland|the Soviet Union|USSR|Psy|Kirlian Photography|The Soviet Union|Us|Northem Ireland
CIA-RDP96-00787R000100130001-8.txt,CIA-RDP96-00787R000100130001-8,,experiment_results,10164,20,00/08/10|1 October 1974,,"Harold E. Puthoff
Russell Targ
Electronics|Grey|Zigzag|Gerald Feinberg|Appendix A.|Puthoff|Pane Bin ta

Fo|eM PrioaA|sun|hoodie",Stanford Research Institute|CIA|Mid-Experiment Interrogation|SRI|H.P.|R.T.|Subject S-4|Subject S-3|MID-EXPERIMENT QUESTIONING|Hill,R.T|Palo Alto|New York City|New York|CU|GfA|Trainer|Vievo|Parapsychology|Geneva
CIA-RDP96-00787R000100130002-7.txt,CIA-RDP96-00787R000100130002-7,,correspondence,33,1,00/08/10,,,CIA|Release 2000/08/10,
CIA-RDP96-00787R000100130003-6.txt,CIA-RDP96-00787R000100130003-6,,precognition,5024,10,00/08/10,,"G. Feinberg

Department of Physics|N. Y. 10027|TN Se eepe EMR|evea|x.|Newman|Ro PUT MACE FE|¢o Eq|PY wR|Segoe","CIA|Columbia University|Quantum Physics|Parapsychology

Geneva|ER SELON TP Pe CCT|xnown|AE|TArouga|SRR|EMIS SI",New York|Switzerland|S54|NE|Pinon|ER
